Name,Nick Name,Status,Definition,Acronym,Resources,Related Terms,Synonyms,Stewards,Experts,Parent Term Name,IsDefinitionRichText,Term Template Names
Level,Level,Approved,A required attribute that is a company-specific way of organizing employees by job experience or seniority. ,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Long meeting,Long meeting,Expired,A long meeting is scheduled for more than one hour and has more than one but fewer than nine attendees. Also see Long and large meeting.,LM,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Long and large meeting,Long and large meeting,Alert,A long and large meeting has more than eight attendees and is scheduled for longer than one hour.,LLM,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Meaningful interaction,Meaningful interaction,Draft,"A meaningful interaction is defined as one of the following types of collaboration: an email, a meeting, a call, three instant messages. These messages could be sent by any of the collaborators in the chat. For example, they could be: (a) three messages sent by one individual to others in Teams, or (b) three distinct messages from distinct senders within the same Teams chat.",MI,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Measured employees,Measured employees,Approved,"The employees to whom your Workplace Analytics administrator assigned licenses during setup. After license assignment, Workplace Analytics extracts Microsoft 365 data about meetings, email, unscheduled calls, and instant messages for these people. If you are an analyst or limited analyst, this is the population that you can analyze within Workplace Analytics. The number of measured employees can help determine whether you have good data coverage for analysis.",ME,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Meeting,Meeting,Expired,"An audio or video communication or in-person meeting that has been scheduled -- that is, it appears on a person's Outlook calendar. A meeting must involve two or more people. Outlook calendar events determine the durations of meetings.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Multitasking,Multitasking,Alert,"The concept of not staying focused on the task at hand. Defined in Workplace Analytics as a person sending two emails or more per meeting hour, and in meetings shorter than an hour, two emails or more per meeting.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Non-declined meeting request,Non-declined meeting request,Draft,"In Workplace Analytics, this is synonymous with attended.",NDMR,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Optional attribute,Optional attribute,Approved,"Optional organizational data attributes that describe the people being analyzed. If supplied by the company, you can use these attributes to explore metrics, filter queries, and customize metrics. These can be reserved for future metric calculations. Optional attributes include FunctionType, HireDate, HourlyRate, Layer, and TimeZone.",OA,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Organization,Organization,Expired,"A required attribute that describes the organizational unit in which the employee resides. The exact value will be determined by the company’s structure, as well as how that structure is captured in within the company’s human resources information system. For example, the organization might also be known as department, function, or defined by a specific manager name in the management hierarchy. ",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Organizational data,Organizational data,Alert,"Attributes about people in the organization or people who collaborate with the organization that Workplace Analytics can analyze. Most organizational data is obtained from a company’s human resources information system. For example, job family, job role, organization, line of business, cost center, location, region, layer, level, number of direct reports, manager, and so on. ",OD,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Organizer,Organizer,Draft,The person who organizes a meeting. This person is also counted as an attendee.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
People meeting hours,People meeting hours,Approved,"The sum of adjusted meeting hours for each person in the meeting. For example, if a meeting lasts at least one hour with three attendees (and no attendees have overlapping meetings), the people meeting hours for that meeting is three.",PMH,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Person,Person,Expired,The measured employee for whom the metric is calculated.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Personal data,Personal data,Alert,"Personal data is any data that relates to an identified or identifiable natural person. An identifiable person is one who can be identified (directly or indirectly), in particular through an identifier such as a name, an identification number, location data, online identifier, or through one or more factors specific to the physical, physiological, genetic, mental, economic, cultural, or social identity of that person.",PD,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Pseudonymized,Pseudonymized,Draft,"Pseudonymized data is personal data that has undergone processing so that it can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organizational measures to ensure that the personal data is not attributed to an identified or identifiable natural person. Pseudonymization is one means of achieving de-identification.",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Recipient,Recipient,Approved,"A person receiving an email (includes people in the to, cc, and bcc lines).",,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Redundancy (organizational),Redundancy (organizational),Expired,"Organizational redundancy is present if at least three attendees are from different levels within the same organization. For example, a meeting whose attendees included a General Manager, a Director, and an Independent Contributor from the same organization would be a redundant meeting.",RO,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Redundancy (lower level),Redundancy (lower level),Alert,An attendee is considered redundant at the lower level if both the attendee's manager and skip-level manager are present in the meeting.,RLL,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Required attribute,Required attribute,Draft,"Mandatory organizational data attributes that describe the people being analyzed. Required attributes are used in Workplace Analytics to explore, calculate, and customize metrics and filter query results. Required attributes include PersonId, EffectiveDate, ManagerId, LevelDesignation (also referred to as level), and Organization.",RA,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Sender,Sender,Approved,The person who sends an email.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Span,Span,Expired,The number of direct reports per manager.,,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Time investor,Time investor,Alert,"A measured employee who interacts with other collaborators in meetings and with email or instant messages. Time investors allocate their time with the other participants or collaborators in the interaction in proportion to how many people are in the collaborator group for that interaction. People who do not have a license for Workplace Analytics can appear as collaborators, but never as time investors.",TI,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Time zones,Time zones,Draft,Workplace Analytics uses these time zones. Personal metrics (person query results) are calculated by using the person’s time zone. Meeting metrics (meeting query results) are calculated by using the organizer’s time zone.,TZ,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
Working hours,Working hours,Approved,Hours that represent the typical workweek for the company. The Workplace Analytics default setting is Monday through Friday from 8:00 AM to 5:00 PM for calculations of working hours. This default is only used for users who have not already set up their working days and hours in Outlook. Your admin can change the default working days and hours in Admin settings > System defaults.,WH,Workspace Analytics:https://docs.microsoft.com/en-us/workplace-analytics/use/glossary;,,,,,Workplace Analytics,"true","System default"
